ID;Curso;Nome;Periodo ;Disciplinas;SEG;TER;QUA;QUI;SEX;SAB
20191.02ADI11N.1N;Administração;Administração (Primeiro Noturno);Noite;130164,130161,130159,130165,130162,130163,130160;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM112.1V;Técnico em Administração;Técnico em Administração (Primeiro Periodo);Tarde;122172,122169,122167,122173,122170,122171,122168;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20191.02ADM112.2V;Técnico em Administração;Técnico em Administração (Segundo Periodo);Tarde;122158,122156,122160,122154,122155,122157;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20191.02ADM112.3V;Técnico em Administração;Técnico em Administração (Terceiro Periodo);Tarde;122162,122165,122163,122166,122161,122164;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20191.02ADM11N.1N;PROEJA Adminstração;PROEJA Adminstração (Primeiro Noturno);Noite;122152,122149,122147,122153,122150,122151,122148;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM11N.2N;PROEJA Adminstração;PROEJA Adminstração (Segundo Noturno);Noite;122138,122139,122136,122140,122134,122135,122137;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM11N.3N;PROEJA Adminstração;PROEJA Adminstração (Terceiro Noturno);Noite;122142,122145,122143,122146,122141,122144;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM12N.1N;PROEJA Adminstração;PROEJA Adminstração (Primeiro Noturno);Noite;122460,122455,122461,122458,122459,122456,122457;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM12N.2N;PROEJA Adminstração;PROEJA Adminstração (Segundo Noturno);Noite;122465,122462,122467,122468,122466,122464,122463;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM12N.3N;PROEJA Adminstração;PROEJA Adminstração (Terceiro Noturno);Noite;122470,122475,122469,122473,122472,122471,122474;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM12N.4N;PROEJA Adminstração;PROEJA Adminstração (Quarto Noturno);Noite;122477,122481,122482,122479,122480,122476,122478;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM12N.5N;PROEJA Adminstração;PROEJA Adminstração (Quinto Noturno);Noite;122484,122487,122483,122486,122488,122485,122489;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM12N.6N;PROEJA Adminstração;PROEJA Adminstração (Sexto Noturno);Noite;122495,122491,122490,122492,122493,122496,122494;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM12N.7N;PROEJA Adminstração;PROEJA Adminstração (Setimo Noturno);Noite;122498,122497,122499,122500,122501,122502,122503;1-12;1-12;1-12;1-12;1-12;12-16
20191.02ADM20N.1N;Administração;Administração (Primeiro Noturno);Noite;122768,122769,122770,122771,122772;1-12;1-12;1-12;1-12;1-12;12-16
20191.02AGN21N.5N;Agronegócio;Agronegócio (Quinto Noturno);Noite;122555,122556,122558,122557,122559;1-12;1-12;1-12;1-12;1-12;12-16
20191.02AGN21N.7N;Agronegócio;Agronegócio (Setimo Noturno);Noite;122592,122576,122571,122607,130415;1-12;1-12;1-12;1-12;1-12;12-16
20191.02AGP11M.1M;Técnico em Agropecuária;Técnico em Agropecuária (Primeiro Periodo);Manhã;122212,122211,122214,122210,122213;7-16;7-16;7-16;7-16;7-16;1-16
20191.02AGP11M.2M;Técnico em Agropecuária;Técnico em Agropecuária (Segundo Periodo);Manhã;122196,122195,122194,122197,122198;7-16;7-16;7-16;7-16;7-16;1-16
20191.02AGP11M.3M;Técnico em Agropecuária;Técnico em Agropecuária (Terceiro Periodo);Manhã;122199,122200,122201,122203,122202,122204;7-16;7-16;7-16;7-16;7-16;1-16
20191.02AGP11M.4M;Técnico em Agropecuária;Técnico em Agropecuária (Quarto Periodo);Manhã;122205,122207,122208,122206,122209;7-16;7-16;7-16;7-16;7-16;1-16
20191.02AGP11V.1V;Técnico em Agropecuária;Técnico em Agropecuária (Primeiro Periodo);Tarde;122233,122232,122235,122231,122234;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
