ID;Cursos;Tipo;Turmas;SEG;TER;QUA;QUI;SEX;SAB
ADM.BC;Administração;Bacharelado;20191.02ADI11N.1N,20191.02ADM20N.1N;13-16;13-16;13-16;13-16;13-16;1-16
AGNG.TL;Agronegócio;Tecnólogo;20191.02AGN21N.5N,20191.02AGN21N.7N;1-12;1-12;1-12;1-12;1-12;0
AGRO.BC;Agronomia;Bacharelado;20191.02AGR20I.1M,20191.02AGR20I.3V,20191.02AGR20I.5M,20191.02AGR20I.7V,20191.02AGR20I.9M,20191.02AGR20I.ESPECIAL;13-16;13-16;13-16;13-16;13-16;1-16
BCC.BC;Ciência da Computação;Bacharelado;20191.02CDC20I.1M,20191.02CDC20I.3V,20191.02CDC20I.5M,20191.02CDC20I.7V;13-16;13-16;13-16;13-16;13-16;1-16
BIO.BC;Ciências Biológicas (bacharelado);Bacharelado;20191.02BIO23I.1,20191.02BIO23I.3V,20191.02BIO23I.5M,20191.02BIO23I.7V,20191.02BIO23I.ESPECIAL;13-16;13-16;13-16;13-16;13-16;1-16
BIO.LI;Ciências Biológicas (licenciatura);Licenciatura;20191.02BIO22N.1N,20191.02BIO22N.3N,20191.02BIO22N.5N,20191.02BIO22N.7N,20191.02BIO22N.ESPECIAL;1-12;1-12;1-12;1-12;1-12;0
ENG.AMB;Engenharia Ambiental;Bacharelado;20191.02EAM20I.1M,20191.02EAM20I.3V,20191.02EAM20I.5M,20191.02EAM20I.7V,20191.02EAM20I.9M,20191.02EAM20I.ESPECIAL;13-16;13-16;13-16;13-16;13-16;1-16
ENG.ALI;Engenharia de Alimentos;Bacharelado;20191.02ALI20I.1,20191.02ALI20I.3,20191.02ALI20I.5,20191.02ALI20I.7,20191.02ALI20I.9;13-16;13-16;13-16;13-16;13-16;1-16
ENG.CIV;Engenharia Civil;Bacharelado;20191.02CIV20I.1,20191.02CIV20I.3,20191.02CIV20I.5,20191.02CIV20I.7.ESP,20191.02CIV20I.7V,20191.02CIV20I.9,20191.02CIV20I.9.ESP;13-16;13-16;13-16;13-16;13-16;1-16
ENG.QUI;Engenharia Química;Bacharelado;;13-16;13-16;13-16;13-16;13-16;1-16
QUIM.LI;Química;Licenciatura;20191.02QUI22N.1N,20191.02QUI22N.3N,20191.02QUI22N.5N,20191.02QUI22N.7N,20191.02QUI22N.ESPECIAL;1-12;1-12;1-12;1-12;1-12;0
SA.TL;Saneamento Ambiental;Tecnólogo;20191.02SAM21N.1N,20191.02SAM21N.3N,20191.02SAM21N.5N,20191.02SAM21N.ESPECIAL;1-12;1-12;1-12;1-12;1-12;0
ZOO.TL;Zootecnia;Bacharelado;20191.02ZOO20I.1,20191.02ZOO20I.3,20191.02ZOO20I.5,20191.02ZOO20I.7,20191.02ZOO20I.9;13-16;13-16;13-16;13-16;13-16;1-16
ADM.TEC;Técnico em Administração;Técnico;20191.02ADM112.1V,20191.02ADM112.2V,20191.02ADM112.3V;0;0;0;0;0;0
AGRO.TEC;Técnico em Agropecuária;Técnico;20191.02AGP11M.1M,20191.02AGP11M.2M,20191.02AGP11M.3M,20191.02AGP11M.4M,20191.02AGP11V.1V,20191.02AGP11V.2V,20191.02AGP11V.3V,20191.02AGP11V.4V;13-16;13-16;13-16;13-16;13-16;1-16
ALI.TEC;Técnico em Alimentos;Técnico;20191.02ALI11N.1N,20191.02ALI11N.2N,20191.02ALI11N.3N,20191.02ALI11N.4N;1-12;1-12;1-12;1-12;1-12;0
BIO.TEC;Técnico em Biotecnologia;Técnico;20191.02BTC11N.1N,20191.02BTC11N.2N,20191.02BTC11N.3N,20191.02BTC11N.4N;1-12;1-12;1-12;1-12;1-12;0
CONT.TEC;Técnico em Contabilidade;Técnico;20191.02COT11N.1N,20191.02COT11N.2N,20191.02COT11N.3N;1-12;1-12;1-12;1-12;1-12;0
EDI.TEC;Técnico em Edificações;Técnico;;1-12;1-12;1-12;1-12;1-12;0
INFO.TEC;Técnico em Informática;Técnico;20191.02INF11N.1N.-,20191.02INF11N.2N.-,20191.02INF11N.3N.-,20191.02INF11N.4N.-;1-12;1-12;1-12;1-12;1-12;0
QUIM.TEC;Técnico em Química;Técnico;20191.02QUI10N.1N,20191.02QUI10N.2N,20191.02QUI10N.3N;1-12;1-12;1-12;1-12;1-12;0
SEG.TEC;Técnico em Segurança do Trabalho;Técnico;20191.02SGT11N.1N,20191.02SGT11N.2N,20191.02SGT11N.3N,20191.02SGT11N.4N;1-12;1-12;1-12;1-12;1-12;0
PROEJA.ADM;PROEJA Adminstração;PROEJA;20191.02ADM11N.1N,20191.02ADM11N.2N,20191.02ADM11N.3N,20191.02ADM12N.1N,20191.02ADM12N.2N,20191.02ADM12N.3N,20191.02ADM12N.4N,20191.02ADM12N.5N,20191.02ADM12N.6N,20191.02ADM12N.7N,20191.02EDI11N.1N,20191.02EDI11N.2N,20191.02EDI11N.3N,20191.02EDI12N.5N,20191.02EDI12N.6N,20191.02EDI12N.7N;1-12;1-12;1-12;1-12;1-12;0
PROEJA.EDI;PROEJA Edificações;PROEJA;;1-12;1-12;1-12;1-12;1-12;0
AVULSO;Turmas Especiais;Bacharelado;;0;0;0;0;0;0
