ID;Curso;Nome;Periodo ;Disciplinas;SEG;TER;QUA;QUI;SEX;SAB
02CDC20I.3IESP;Ciência da Computação;Ciência da Computação (Turma Especial);Tarde;114936;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20182.02ADM112.1V;Técnico em Administração;Técnico em Administração (Primeiro Periodo);Tarde;111622,111619,111617,111623,111620,111621,111618;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20182.02ADM112.2V;Técnico em Administração;Técnico em Administração (Segundo Periodo);Tarde;111122,111123,111120,111124,111118,111119,111121;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20182.02ADM112.3V;Técnico em Administração;Técnico em Administração (Terceiro Periodo);Tarde;111128,111131,111126,111129,111125,111130,111127;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20182.02ADM11N.1N;Técnico em Administração;Técnico em Administração (Primeiro Noturno);Noite;111615,111612,111610,111616,111613,111614,111611;1-12;1-12;1-12;1-12;1-12;12-16
20182.02ADM11N.2N;Técnico em Administração;Técnico em Administração (Segundo Noturno);Noite;111143,111144,111141,111139,111145,111140,111142;1-12;1-12;1-12;1-12;1-12;12-16
20182.02ADM11N.3N;Técnico em Administração;Técnico em Administração (Terceiro Noturno);Noite;111149,111152,111147,111150,111146,111151,111148;1-12;1-12;1-12;1-12;1-12;12-16
20182.02ADM12N.1N;PROEJA Adminstração;PROEJA Adminstração (Primeiro Noturno);Noite;111039,111683,111684,111686,111687,111682;1-12;1-12;1-12;1-12;1-12;12-16
20182.02ADM12N.2N;PROEJA Adminstração;PROEJA Adminstração (Segundo Noturno);Noite;111030,111027,111032,111033,111031,111029,111028;1-12;1-12;1-12;1-12;1-12;12-16
20182.02ADM12N.3N;PROEJA Adminstração;PROEJA Adminstração (Terceiro Noturno);Noite;111044,111046,111047,111043,111045,111041,111042;1-12;1-12;1-12;1-12;1-12;12-16
20182.02ADM12N.4N;PROEJA Adminstração;PROEJA Adminstração (Quarto Noturno);Noite;111049,111053,111054,111051,111052,111048,111050;1-12;1-12;1-12;1-12;1-12;12-16
20182.02ADM12N.5N;PROEJA Adminstração;PROEJA Adminstração (Quinto Noturno);Noite;111056,111059,111055,111058,111060,111057,111061;1-12;1-12;1-12;1-12;1-12;12-16
20182.02ADM12N.6N;PROEJA Adminstração;PROEJA Adminstração (Sexto Noturno);Noite;111067,111063,111062,111064,111065,111068,111066;1-12;1-12;1-12;1-12;1-12;12-16
20182.02ADM12N.7N;PROEJA Adminstração;PROEJA Adminstração (Setimo Noturno);Noite;111070,111069,111071,111072,111073,111074,111075;1-12;1-12;1-12;1-12;1-12;12-16
20182.02AGN21N.4N;Agronegócio;Agronegócio (Quarto Noturno);Noite;110455,110454,110453,110463,110456,110457;1-12;1-12;1-12;1-12;1-12;12-16
