ID;Cursos;Tipo;Turmas;SEG;TER;QUA;QUI;SEX;SAB
ADM.BC;Administração;Bacharelado;;13-16;13-16;13-16;13-16;13-16;1-16
AGNG.TL;Agronegócio;Tecnólogo;20182.02AGN21N.4N,20182.02AGN21N.6N;1-12;1-12;1-12;1-12;1-12;0
AGRO.BC;Agronomia;Bacharelado;20182.02AGR20I.10MV,20182.02AGR20I.2V,20182.02AGR20I.4M,20182.02AGR20I.6V,20182.02AGR20I.8M;13-16;13-16;13-16;13-16;13-16;1-16
BCC.BC;Ciência da Computação;Bacharelado;02CDC20I.3IESP,20182.02CDC20I.1MV,20182.02CDC20I.2V,20182.02CDC20I.4M,20182.02CDC20I.6M;13-16;13-16;13-16;13-16;13-16;1-16
BIO.BC;Ciências Biológicas (bacharelado);Bacharelado;20182.02BIO23I.1M,20182.02BIO23I.2V,20182.02BIO23I.4M,20182.02BIO23I.6V;13-16;13-16;13-16;13-16;13-16;1-16
BIO.LI;Ciências Biológicas (licenciatura);Licenciatura;20182.02BIO22.7N ESP,20182.02BIO22N.2N,20182.02BIO22N.4N,20182.02BIO22N.6N,20182.02BIO22N.8N;1-12;1-12;1-12;1-12;1-12;0
ENG.AMB;Engenharia Ambiental;Bacharelado;20182.02EAM20I.1MV,20182.02EAM20I.2V,20182.02EAM20I.4M,20182.02EAM20I.6V,20182.02EAM20I.8M;13-16;13-16;13-16;13-16;13-16;1-16
ENG.ALI;Engenharia de Alimentos;Bacharelado;20182.02ALI20I.2V,20182.02ALI20I.4M,20182.02ALI20I.6V,20182.02ALI20I.8M;13-16;13-16;13-16;13-16;13-16;1-16
ENG.CIV;Engenharia Civil;Bacharelado;20182.02CIV20I.2V,20182.02CIV20I.4M,20182.02CIV20I.6V,20182.02CIV20I.8M,20182.O2CIV20I.7ESP;13-16;13-16;13-16;13-16;13-16;1-16
ENG.QUI;Engenharia Química;Bacharelado;;13-16;13-16;13-16;13-16;13-16;1-16
QUIM.LI;Química;Licenciatura;20182.02QUI22N.2N,20182.02QUI22N.4N,20182.02QUI22N.6N,20182.02QUI22N.8N;1-12;1-12;1-12;1-12;1-12;0
SA.TL;Saneamento Ambiental;Tecnólogo;20182.02SAM21N.1M,20182.02SAM21N.2N,20182.02SAM21N.4N,20182.02SAM21N.6N;1-12;1-12;1-12;1-12;1-12;0
ZOO.TL;Zootecnia;Bacharelado;20182.02ZOO20I.1V,20182.02ZOO20I.2V,20182.02ZOO20I.4M,20182.02ZOO20I.6V,20182.02ZOO20I.8M;13-16;13-16;13-16;13-16;13-16;1-16
ADM.TEC;Técnico em Administração;Técnico;20182.02ADM112.1V,20182.02ADM112.2V,20182.02ADM112.3V,20182.02ADM11N.1N,20182.02ADM11N.2N,20182.02ADM11N.3N;0;0;0;0;0;0
AGRO.TEC;Técnico em Agropecuária;Técnico;20182.02AGP11M.1M,20182.02AGP11M.2M,20182.02AGP11M.3M,20182.02AGP11M.4M,20182.02AGP11V.1V,20182.02AGP11V.2V,20182.02AGP11V.3V,20182.02AGP11V.4V;13-16;13-16;13-16;13-16;13-16;1-16
ALI.TEC;Técnico em Alimentos;Técnico;20182.02ALI11N.1N,20182.02ALI11N.2N,20182.02ALI11N.3N,20182.02ALI11N.4N;1-12;1-12;1-12;1-12;1-12;0
BIO.TEC;Técnico em Biotecnologia;Técnico;20182.02BTC11N.1N,20182.02BTC11N.2N,20182.02BTC11N.3N,20182.02BTC11N.4N;1-12;1-12;1-12;1-12;1-12;0
CONT.TEC;Técnico em Contabilidade;Técnico;20182.02COT11N.1N,20182.02COT11N.2N,20182.02COT11N.3N;1-12;1-12;1-12;1-12;1-12;0
EDI.TEC;Técnico em Edificações;Técnico;;1-12;1-12;1-12;1-12;1-12;0
INFO.TEC;Técnico em Informática;Técnico;20182.02INF11N.1N.-,20182.02INF11N.2N.-,20182.02INF11N.3N.-;1-12;1-12;1-12;1-12;1-12;0
QUIM.TEC;Técnico em Química;Técnico;20182.02QUI10N.1N,20182.02QUI10N.2N,20182.02QUI10N.3N;1-12;1-12;1-12;1-12;1-12;0
SEG.TEC;Técnico em Segurança do Trabalho;Técnico;20182.02SGT11N.1N,20182.02SGT11N.2N,20182.02SGT11N.3N,20182.02SGT11N.4N;1-12;1-12;1-12;1-12;1-12;0
PROEJA.ADM;PROEJA Adminstração;PROEJA;20182.02ADM12N.1N,20182.02ADM12N.2N,20182.02ADM12N.3N,20182.02ADM12N.4N,20182.02ADM12N.5N,20182.02ADM12N.6N,20182.02ADM12N.7N;1-12;1-12;1-12;1-12;1-12;0
PROEJA.EDI;PROEJA Edificações;PROEJA;20182.02EDI11N.1N,20182.02EDI11N.2N,20182.02EDI12N.4N,20182.02EDI12N.5N,20182.02EDI12N.6N,20182.02EDI12N.7N;1-12;1-12;1-12;1-12;1-12;0
AVULSO;Turmas Especiais;Bacharelado;;0;0;0;0;0;0
