ID;Curso;Nome;Periodo ;Disciplinas;SEG;TER;QUA;QUI;SEX;SAB
20181.02ADM112.1V;Técnico em Administração;Técnico em Administração (Primeiro Periodo);Tarde;104699,104696,104694,104700,104697,104698,104695;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20181.02ADM112.2V;Técnico em Administração;Técnico em Administração (Segundo Periodo);Tarde;99921,99923,99919,99924,99918,99920;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20181.02ADM112.3V;Técnico em Administração;Técnico em Administração (Terceiro Periodo);Tarde;99928,99931,99926,99929,99925,99930,99927;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20181.02ADM11N.1N;Técnico em Administração;Técnico em Administração (Primeiro Noturno);Noite;104692,104689,104687,104693,104690,104691,104688;1-12;1-12;1-12;1-12;1-12;12-16
20181.02ADM11N.2N;Técnico em Administração;Técnico em Administração (Segundo Noturnno);Noite;99908,99909,99906,99910,99905,99907;1-12;1-12;1-12;1-12;1-12;12-16
20181.02ADM11N.3N;Técnico em Administração;Técnico em Administração (Terceiro Noturnno);Noite;99914,99917,99912,99915,99911,99916,99913;1-12;1-12;1-12;1-12;1-12;12-16
20181.02ADM12N.1N;PROEJA Adminstração;PROEJA Adminstração (Primeiro Noturno);Noite;104954,104950,104955,104952,104953,104951,104956;1-12;1-12;1-12;1-12;1-12;12-16
20181.02ADM12N.2N;PROEJA Adminstração;PROEJA Adminstração (Segundo Noturnno);Noite;100057,100058,100055,100056,100052,100054,100053;1-12;1-12;1-12;1-12;1-12;12-16
20181.02ADM12N.3N;PROEJA Adminstração;PROEJA Adminstração (Terceiro Noturnno);Noite;100062,100064,100065,100061,100063,100059,100060;1-12;1-12;1-12;1-12;1-12;12-16
20181.02ADM12N.4N;PROEJA Adminstração;PROEJA Adminstração (Quarto Noturnno);Noite;100067,100071,100072,100069,100070,100066,100068;1-12;1-12;1-12;1-12;1-12;12-16
20181.02ADM12N.5N;PROEJA Adminstração;PROEJA Adminstração (Quinto Noturnno);Noite;100074,100077,100073,100076,100078,100075,100079;1-12;1-12;1-12;1-12;1-12;12-16
20181.02ADM12N.6N;PROEJA Adminstração;PROEJA Adminstração (Sexto Noturnno);Noite;100085,100081,100080,100082,100083,100086,100084;1-12;1-12;1-12;1-12;1-12;12-16
20181.02ADM12N.7N;PROEJA Adminstração;PROEJA Adminstração (Setimo Noturnno);Noite;100087,100088,100089,100090,100091,100092,100093;1-12;1-12;1-12;1-12;1-12;12-16
20181.02AGN21N.3N;Agronegócio;Agronegócio (Terceiro Noturnno);Noite;99039,99040,99042,99043,99041;1-12;1-12;1-12;1-12;1-12;12-16
20181.02AGN21N.5N;Agronegócio;Agronegócio (Quinto Noturnno);Noite;99044,99045,99047,99046,99048;1-12;1-12;1-12;1-12;1-12;12-16
20181.02AGN21N.7N;Agronegócio;Agronegócio (Setimo Noturnno);Noite;99080,99064,99059,99094;1-12;1-12;1-12;1-12;1-12;12-16
20181.02AGP11M.1M;Técnico em Agropecuária;Técnico em Agropecuária (Primeiro Periodo);Manhã;104703,104702,104705,104701,104704;7-16;7-16;7-16;7-16;7-16;1-16
20181.02AGP11M.2M;Técnico em Agropecuária;Técnico em Agropecuária (Segundo Periodo);Manhã;99934,99933,99932,99935,99936;7-16;7-16;7-16;7-16;7-16;1-16
