ID;Cursos;Tipo;Turmas;SEG;TER;QUA;QUI;SEX;SAB
AGNG.TL;Agronegócio;Tecnólogo;20181.02AGN21N.3N,20181.02AGN21N.5N,20181.02AGN21N.7N;1-12;1-12;1-12;1-12;1-12;0
AGRO.BC;Agronomia;Bacharelado;20181.02AGR20I.1,20181.02AGR20I.3M,20181.02AGR20I.5,20181.02AGR20I.5V,20181.02AGR20I.7M,20181.02AGR20I.9V;13-16;13-16;13-16;13-16;13-16;1-16
BCC.BC;Ciência da Computação;Bacharelado;20181.02CDC20I.1,20181.02CDC20I.3,20181.02CDC20I.3M,20181.02CDC20I.5V;13-16;13-16;13-16;13-16;13-16;1-16
BIO.BC;Ciências Biológicas (bacharelado);Bacharelado;20181.02BIO23I.1V,20181.02BIO23I.3M,20181.02BIO23I.5V;13-16;13-16;13-16;13-16;13-16;1-16
BIO.LI;Ciências Biológicas (licenciatura);Licenciatura;20181.02BIO22N.1N,20181.02BIO22N.3N,20181.02BIO22N.5N,20181.02BIO22N.7N;1-12;1-12;1-12;1-12;1-12;0
ENG.AMB;Engenharia Ambiental;Bacharelado;20181.02EAM20I.1V,20181.02EAM20I.3M,20181.02EAM20I.5V,20181.02EAM20I.7M,20181.02EAM20I.9V;13-16;13-16;13-16;13-16;13-16;1-16
ENG.ALI;Engenharia de Alimentos;Bacharelado;20181.02ALI20I.1V,20181.02ALI20I.3M,20181.02ALI20I.5V,20181.02ALI20I.7M,20181.02ALI20I.9V;13-16;13-16;13-16;13-16;13-16;1-16
ENG.CIV;Engenharia Civil;Bacharelado;20181.02CIV20I.1.-,20181.02CIV20I.3M.-,20181.02CIV20I.5V.-,20181.02CIV20I.7M.-,20181.02CIV20I.9V.-;13-16;13-16;13-16;13-16;13-16;1-16
ENG.QUI;Engenharia Química;Bacharelado;;13-16;13-16;13-16;13-16;13-16;1-16
QUIM.LI;Química;Licenciatura;20181.02QUI22N.1N,20181.02QUI22N.3N,20181.02QUI22N.5N,20181.02QUI22N.7N;1-12;1-12;1-12;1-12;1-12;0
SA.TL;Saneamento Ambiental;Tecnólogo;20181.02SAM21N.1N,20181.02SAM21N.3N,20181.02SAM21N.5N;1-12;1-12;1-12;1-12;1-12;0
ZOO.TL;Zootecnia;Bacharelado;20181.02ZOO20I.1V,20181.02ZOO20I.3M,20181.02ZOO20I.5V,20181.02ZOO20I.7M,20181.02ZOO20I.9V;13-16;13-16;13-16;13-16;13-16;1-16
ADM.TEC;Técnico em Administração;Técnico;20181.02ADM112.1V,20181.02ADM112.2V,20181.02ADM112.3V,20181.02ADM11N.1N,20181.02ADM11N.2N,20181.02ADM11N.3N;0;0;0;0;0;0
AGRO.TEC;Técnico em Agropecuária;Técnico;20181.02AGP11M.1M,20181.02AGP11M.2M,20181.02AGP11M.3M,20181.02AGP11M.4M,20181.02AGP11V.1V,20181.02AGP11V.2V,20181.02AGP11V.3V,20181.02AGP11V.4V;13-16;13-16;13-16;13-16;13-16;1-16
ALI.TEC;Técnico em Alimentos;Técnico;20181.02ALI11N.1N,20181.02ALI11N.2N,20181.02ALI11N.3N,20181.02ALI11N.4N;1-12;1-12;1-12;1-12;1-12;0
BIO.TEC;Técnico em Biotecnologia;Técnico;20181.02BTC11N.1N,20181.02BTC11N.2N,20181.02BTC11N.3N,20181.02BTC11N.4N;1-12;1-12;1-12;1-12;1-12;0
CONT.TEC;Técnico em Contabilidade;Técnico;20181.02COT11N.1N,20181.02COT11N.2N,20181.02COT11N.3N;1-12;1-12;1-12;1-12;1-12;0
EDI.TEC;Técnico em Edificações;Técnico;;1-12;1-12;1-12;1-12;1-12;0
INFO.TEC;Técnico em Informática;Técnico;20181.02INF11N.1N.-,20181.02INF11N.2N.-,20181.02INF11N.3N.-;1-12;1-12;1-12;1-12;1-12;0
QUIM.TEC;Técnico em Química;Técnico;20181.02QUI10N.1N,20181.02QUI10N.2N,20181.02QUI10N.3N;1-12;1-12;1-12;1-12;1-12;0
SEG.TEC;Técnico em Segurança do Trabalho;Técnico;20181.02SGT11N.1N,20181.02SGT11N.2N,20181.02SGT11N.3N,20181.02SGT11N.4N;1-12;1-12;1-12;1-12;1-12;0
PROEJA.ADM;PROEJA Adminstração;PROEJA;20181.02ADM12N.1N,20181.02ADM12N.2N,20181.02ADM12N.3N,20181.02ADM12N.4N,20181.02ADM12N.5N,20181.02ADM12N.6N,20181.02ADM12N.7N;1-12;1-12;1-12;1-12;1-12;0
PROEJA.EDI;PROEJA Edificações;PROEJA;20181.02EDI11N.1N,20181.02EDI12N.3N,20181.02EDI12N.4N,20181.02EDI12N.5N,20181.02EDI12N.6N;1-12;1-12;1-12;1-12;1-12;0
AVULSO;Turmas Especiais;Bacharelado;;0;0;0;0;0;0
